fecha,dia,hora,tipologia,direccion,zona,parroquia_urbana,causas,nro_heridos,nro_fallecidos
07-31,martes,08:00,roce negativo,pio jaramillo alvarado y chile,urbana,punzara,razones desconocidas,0,0
07-31,martes,16:30,atropello,mercadillo y nicolas garcia,urbana,el sagrario,razones desconocidas,1,0
08-03,viernes,06:35,estrellamiento,manuel carrion pinzano y piura,urbana,sucre,razones desconocidas,0,0
08-04,sabado,02:23,choque lateral perpendicular,isidro ayora y orillas del zamora,urbana,el valle,razones desconocidas,0,0
08-04,sabado,20:00,choque lateral perpendicular,manuel belgrano y getulio vargas,urbana,punzara,razones desconocidas,0,0
08-05,domingo,09:45,estrellamiento,24 de mayo y azuay,urbana,el sagrario,razones desconocidas,0,0
08-06,lunes,21:12,choque lateral perpendicular,ramon burneo y benjamin pereira,urbana,sucre,razones desconocidas,1,0
08-08,miercoles,20:23,roce negativo,chuquiribamba y s/n,urbana,carigan,razones desconocidas,0,0
08-09,jueves,07:18,choque lateral perpendicular,machala e ibarra,urbana,sucre,razones desconocidas,0,0
08-09,jueves,02:20,estrellamiento,piura y s/n,urbana,sucre,razones desconocidas,0,0
08-10,viernes,04:30,estrellamiento,galileo galilei y teniente hugo ortiz,urbana,punzara,razones desconocidas,0,0
08-11,sabado,11:00,choque lateral angular,bolivar y cariamanga,urbana,san sebastian,razones desconocidas,2,0
08-11,sabado,19:50,choque lateral perpendicular,olmedo y catacocha,urbana,san sebastian,razones desconocidas,0,0
08-11,sabado,21:50,choque lateral angular,benjamin carrion y eloy alfaro,urbana,punzara,razones desconocidas,1,0
08-12,domingo,00:10,perdida de carril,rio de janeiro y cordova,urbana,sucre,razones desconocidas,2,0
08-15,miercoles,06:40,estrellamiento,sucre y celica,urbana,san sebastian,razones desconocidas,0,0
08-16,jueves,10:53,choque lateral perpendicular,juan de salinas y sucre,urbana,san sebastian,razones desconocidas,0,0
08-19,domingo,14:05,choque frontal excentrico,isidro ayora,urbana,sucre,razones desconocidas,5,0
08-18,sabado,04:21,perdida de carril,24 de mayo y azuay,urbana,el sagrario,razones desconocidas,1,0
08-20,lunes,06:25,choque lateral angular,isidro ayora y habana,urbana,sucre,razones desconocidas,0,0
08-20,lunes,14:15,choque lateral perpendicular,bolivar y juan de salinas,urbana,el sagrario,razones desconocidas,0,0
08-20,lunes,21:20,choque lateral perpendicular,alonso de mercadillo y ramon pinto,urbana,el sagrario,razones desconocidas,1,0
08-21,martes,18:53,atropello,rocafuerte y 24 de mayo,urbana,el sagrario,razones desconocidas,1,0
08-21,martes,07:50,choque lateral angular,puebla y santa rita,urbana,sucre,razones desconocidas,0,0
08-23,jueves,09:45,choque por alcance,emiliano y universitaria,urbana,el sagrario,razones desconocidas,0,0
08-24,viernes,10:45,estrellamiento,rocafuerte entre sucre y 18 de noviembre,urbana,el sagrario,razones desconocidas,0,0
08-25,sabado,22:25,estrellamiento,luis a. valencia entre jose b. hidalgo y s sin nombre,urbana,el valle,razones desconocidas,0,0
08-28,martes,08:20,atropello,nueva loja y emiliano ortega,urbana,el sagrario,razones desconocidas,1,0
08-28,martes,17:50,atropello,nueva loja y guaranda,urbana,sucre,razones desconocidas,1,0
08-29,miercoles,14:00,choque lateral perpendicular,emiliano ortega y juan jose pena,urbana,el sagrario,razones desconocidas,1,0
08-30,jueves,23:32,atropello,salvador bustamante celi y homero idrovo,urbana,el valle,razones desconocidas,0,1
08-31,viernes,23:18,atropello,cuxibamba e ibarra,urbana,sucre,razones desconocidas,1,0
09-01,sabado,22:00,choque lateral perpendicular,sucre y jose felix de valdivieso,urbana,el sagrario,razones desconocidas,0,0
09-02,domingo,16:26,choque por alcance,emiliano ortega y universitaria,urbana,el sagrario,razones desconocidas,0,0
09-02,domingo,02:25,choque lateral angular,manuel agustin aguirre y azuay,urbana,el sagrario,razones desconocidas,1,0
09-04,martes,23:20,choque lateral perpendicular,manuel agustin aguirre y rocafuerte,urbana,el sagrario,razones desconocidas,0,0
09-05,miercoles,14:00,estrellamiento,gran colombia y riobamba,urbana,sucre,razones desconocidas,0,0
09-07,viernes,13:35,choque lateral perpendicular,universitaria y gran colombia,urbana,el sagrario,razones desconocidas,1,0
09-07,viernes,19:10,choque frontal excentrico,eduardo kingman y angel b. valarezo.,urbana,san sebastian,razones desconocidas,1,0
09-08,sabado,21:20,estrellamiento,paris y bruselas,urbana,el sagrario,razones desconocidas,0,0
09-10,lunes,11:10,choque lateral perpendicular,manuel agustin aguirre y brasil,urbana,el sagrario,razones desconocidas,0,0
09-11,martes,00:18,choque lateral perpendicular,juan jose pena y mercadillo,urbana,el sagrario,razones desconocidas,3,1
09-11,martes,17:15,choque lateral perpendicular,juan jose pena y catacocha,urbana,el sagrario,razones desconocidas,0,0
09-11,martes,18:30,choque lateral angular,manuel agustin aguirre y jose picoita,urbana,el sagrario,razones desconocidas,1,0
09-12,miercoles,17:45,atropello,eugenio espejo y colorados,urbana,punzara,razones desconocidas,1,0
09-16,domingo,20:08,arrollamiento,oriental de paso,urbana,el valle,razones desconocidas,0,1
09-18,martes,19:50,estrellamiento,pedro pacheco y chuquiribamba,urbana,carigan,razones desconocidas,0,0
09-19,miercoles,23:45,estrellamiento,pablo palacios y angel felicisimo rojas,urbana,carigan,razones desconocidas,0,0
